011;Молоко 2,6 % фас.п/пак;1;1;9.45;2;
030;Молоко 2,5% фас.плівка;1;1;8.05;40;
020;Молоко 1,5% фас.плівка.;1;1;7.25;20;
031;Молоко 2,5% 0,5л фас. плівка;1;1;4.7;4;
091;Молоко пряжене 0,5л плівка;1;1;5.75;4;
140;Закваска "Обухівська"2,5% п/п 0,5л;1;1;5.8;3;
110;Ряжанка 2,5% п/п 500г.;1;1;6.35;9;
130;Кефір 2.5% 1л;1;1;9.2;10;
160;Біопродукт кефірний 1% пл.500 гр;1;1;4.6;6;
080;Сироватка фасована;1;1;2.65;2;
313;Сир н/ж фас,200 г;1;1;8.1;8;
314;Сир  5% фас,200 г;1;1;9.15;6;
307;Сир к/м"Обухівський" н/ж вакуум.;1;1;41.65;2;
221;Сметана 20% пл 450гр;1;1;10.9;15;
240;Сметана 20 % ст 450г;1;1;11.25;2;
250;Сметана 20%ст 220гр;1;1;6.7;2;
222;Сметана 15% пл 450 гр;1;1;10.1;10;
230;Сметана 15% ст 450г;1;1;10.45;2;
270;Сметана 15% 220г;1;1;5.95;4;
800;Масло"Селянське"фас.72,5%;1;1;14.5;6;
